Titre,Année_de_sortie,Durée,Genre,Réalisateur,Note,Nombre_de_votants,Acteurs,Affiche,Recettes
Back to the Future Part III,1990,118,Comedy,Robert Zemeckis,7.4,471290.0,"['Michael J. Fox', 'Christopher Lloyd', 'Mary Steenburgen', 'Tom Wilson']",/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg,244527583.0
Cyrano de Bergerac,1990,137,Comedy,Jean-Paul Rappeneau,7.5,25511.0,"['Gérard Depardieu', 'Anne Brochet', 'Vincent Perez', 'Jacques Weber']",/80XJ5UkGuYTKDuALeG03BLk1OT1.jpg,5822041.0
Die Hard 2,1990,124,Thriller,Renny Harlin,7.1,375465.0,"['Bruce Willis', 'William Atherton', 'Bonnie Bedelia', 'Reginald VelJohnson']",/lDFO7D4MdbhjOwaPwe18QG69Rt0.jpg,240031094.0
The Field,1990,107,Thriller,Jim Sheridan,7.3,6595.0,"['Richard Harris', 'John Hurt', 'Sean Bean', 'Frances Tomelty']",/ppF5pUheNoL0EPuGRIEnHz1ewp7.jpg,1494399.0
Ghayal,1990,163,Crime,Rajkumar Santoshi,7.7,4974.0,"['Sunny Deol', 'Amrish Puri', 'Meenakshi Sheshadri', 'Moushumi Chatterjee']",/4LpT0OsORcPdrtHnolxRqtU3eo9.jpg,19000000.0
The Godfather Part III,1990,162,Crime,Francis Ford Coppola,7.6,416368.0,"['Al Pacino', 'Diane Keaton', 'Andy Garcia', 'Talia Shire']",/lm3pQ2QoQ16pextRsmnUbG2onES.jpg,136766062.0
Goodfellas,1990,145,Crime,Martin Scorsese,8.7,1225505.0,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']",/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,46835000.0
Home Alone,1990,103,Comedy,Chris Columbus,7.7,617513.0,"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern', 'John Heard']",/9wSbe4CwObACCQvaUVhWQyLR5Vz.jpg,476684675.0
The Hunt for Red October,1990,135,Thriller,John McTiernan,7.5,210377.0,"['Sean Connery', 'Alec Baldwin', 'Scott Glenn', 'Sam Neill']",/yVl7zidse4KiWtGMqHFtZCx4X3N.jpg,200512643.0
Life Is Sweet,1990,103,Comedy,Mike Leigh,7.4,11063.0,"['Alison Steadman', 'Jim Broadbent', 'Claire Skinner', 'Jane Horrocks']",/zdkKNQzzwyciP9vAohAPFZdujlA.jpg,1500000.0
